OXYMAX CSV FEEDING BOUTS DATA FILE 

CSV FILE CREATION:13/03/2015 13:10:34
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\9-03-15\2015-03-09.BDTA

GROUP/CAGE:0110
SUBJECT ID:Subject 10
SUBJECT MASS:482 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,011001,09/03/2015,14:30:41 ,14:30:51 , 10 ,0.11,0.11,
 2 , 1 ,011001,09/03/2015,14:33:25 ,14:33:43 , 18 ,0.20,0.31,
 3 , 1 ,011001,09/03/2015,14:40:14 ,14:40:39 , 25 ,0.26,0.57,
 4 , 5 ,011001,09/03/2015,15:35:03 ,15:35:24 , 21 ,0.20,0.77,
 5 , 5 ,011001,09/03/2015,15:35:39 ,15:35:49 , 10 ,0.11,0.88,
 6 , 14 ,011001,09/03/2015,17:39:04 ,17:39:32 , 28 ,0.28,1.16,
 7 , 14 ,011001,09/03/2015,17:41:35 ,17:41:53 , 18 ,0.18,1.34,
 8 , 18 ,011001,09/03/2015,18:44:38 ,18:44:55 , 17 ,0.10,1.44,
 9 , 19 ,011001,09/03/2015,18:45:07 ,18:45:59 , 52 ,0.42,1.86,
 10 , 19 ,011001,09/03/2015,18:47:12 ,18:47:29 , 17 ,0.15,2.01,
 11 , 19 ,011001,09/03/2015,18:48:33 ,18:49:21 , 48 ,0.42,2.43,
 12 , 19 ,011001,09/03/2015,18:49:43 ,18:50:14 , 31 ,0.29,2.72,
 13 , 21 ,011001,09/03/2015,19:18:55 ,19:21:04 , 129 ,0.82,3.54,
 14 , 21 ,011001,09/03/2015,19:21:33 ,19:21:42 , 9 ,0.11,3.65,
 15 , 25 ,011001,09/03/2015,20:13:45 ,20:14:26 , 41 ,0.25,3.90,
 16 , 25 ,011001,09/03/2015,20:14:41 ,20:15:30 , 49 ,0.38,4.28,
 17 , 25 ,011001,09/03/2015,20:16:11 ,20:16:46 , 35 ,0.23,4.51,
 18 , 28 ,011001,09/03/2015,21:04:55 ,21:07:01 , 126 ,0.79,5.30,
 19 , 29 ,011001,09/03/2015,21:07:54 ,21:08:20 , 26 ,0.22,5.52,
 20 , 29 ,011001,09/03/2015,21:08:48 ,21:09:25 , 37 ,0.27,5.79,
 21 , 31 ,011001,09/03/2015,21:49:15 ,21:49:37 , 22 ,0.05,5.84,
 22 , 32 ,011001,09/03/2015,21:52:32 ,21:53:45 , 73 ,0.50,6.34,
 23 , 32 ,011001,09/03/2015,21:54:06 ,21:54:36 , 30 ,0.25,6.59,
 24 , 32 ,011001,09/03/2015,21:54:51 ,21:55:25 , 34 ,0.24,6.83,
 25 , 35 ,011001,09/03/2015,22:38:04 ,22:39:00 , 56 ,0.48,7.31,
 26 , 35 ,011001,09/03/2015,22:39:14 ,22:41:36 , 142 ,1.01,8.32,
 27 , 39 ,011001,09/03/2015,23:30:39 ,23:32:07 , 88 ,0.71,9.03,
 28 , 39 ,011001,09/03/2015,23:32:24 ,23:32:43 , 19 ,0.19,9.22,
 29 , 39 ,011001,09/03/2015,23:33:03 ,23:34:02 , 59 ,0.47,9.69,
 30 , 39 ,011001,09/03/2015,23:34:16 ,23:34:59 , 43 ,0.37,10.06,
 31 , 39 ,011001,09/03/2015,23:35:16 ,23:35:42 , 26 ,0.26,10.32,
 32 , 39 ,011001,09/03/2015,23:41:07 ,23:42:00 , 53 ,0.44,10.76,
 33 , 39 ,011001,09/03/2015,23:42:11 ,23:42:45 , 34 ,0.25,11.01,
 34 , 39 ,011001,09/03/2015,23:42:58 ,23:43:27 , 29 ,0.23,11.24,
 35 , 44 ,011001,10/03/2015,00:45:10 ,00:47:02 , 112 ,0.68,11.92,
 36 , 44 ,011001,10/03/2015,00:47:16 ,00:48:55 , 99 ,0.81,12.73,
 37 , 45 ,011001,10/03/2015,01:03:25 ,01:04:08 , 43 ,0.37,13.10,
 38 , 45 ,011001,10/03/2015,01:05:12 ,01:06:20 , 68 ,0.52,13.62,
 39 , 46 ,011001,10/03/2015,01:13:26 ,01:14:28 , 62 ,0.46,14.08,
 40 , 46 ,011001,10/03/2015,01:22:04 ,01:22:29 , 25 ,0.17,14.25,
 41 , 54 ,011001,10/03/2015,03:09:12 ,03:09:14 , 2 ,0.02,14.27,
 42 , 54 ,011001,10/03/2015,03:13:09 ,03:13:21 , 12 ,0.08,14.35,
 43 , 54 ,011001,10/03/2015,03:13:34 ,03:16:34 , 180 ,1.16,15.51,
 44 , 55 ,011001,10/03/2015,03:16:47 ,03:18:25 , 98 ,0.68,16.19,
 45 , 55 ,011001,10/03/2015,03:19:03 ,03:19:20 , 17 ,0.13,16.32,
 46 , 58 ,011001,10/03/2015,04:14:03 ,04:14:08 , 5 ,-0.04,16.28,
 47 , 59 ,011001,10/03/2015,04:20:49 ,04:22:03 , 74 ,0.53,16.81,
 48 , 59 ,011001,10/03/2015,04:22:15 ,04:22:49 , 34 ,0.28,17.09,
 49 , 59 ,011001,10/03/2015,04:23:20 ,04:25:36 , 136 ,0.97,18.06,
 50 , 59 ,011001,10/03/2015,04:26:16 ,04:26:50 , 34 ,-0.06,18.00,
 51 , 59 ,011001,10/03/2015,04:27:16 ,04:28:00 , 44 ,-0.04,17.96,
 52 , 59 ,011001,10/03/2015,04:28:51 ,04:29:01 , 10 ,0.03,17.99,
 53 , 61 ,011001,10/03/2015,04:53:06 ,04:53:11 , 5 ,-0.14,17.85,
 54 , 61 ,011001,10/03/2015,04:55:48 ,04:56:10 , 22 ,-0.08,17.77,
 55 , 61 ,011001,10/03/2015,04:58:04 ,04:58:05 , 1 ,-0.02,17.75,
 56 , 62 ,011001,10/03/2015,04:58:57 ,04:58:58 , 1 ,0.02,17.77,
 57 , 62 ,011001,10/03/2015,05:01:03 ,05:01:10 , 7 ,-0.02,17.75,
 58 , 63 ,011001,10/03/2015,05:13:01 ,05:13:02 , 1 ,-0.02,17.73,
 59 , 63 ,011001,10/03/2015,05:17:34 ,05:18:09 , 35 ,-0.03,17.70,
 60 , 63 ,011001,10/03/2015,05:25:36 ,05:25:38 , 2 ,-0.02,17.68,
 61 , 64 ,011001,10/03/2015,05:26:21 ,05:28:33 , 132 ,0.41,18.09,
 62 , 64 ,011001,10/03/2015,05:28:48 ,05:29:58 , 70 ,0.49,18.58,
 63 , 64 ,011001,10/03/2015,05:31:56 ,05:33:00 , 64 ,-0.06,18.52,
 64 , 64 ,011001,10/03/2015,05:34:04 ,05:34:25 , 21 ,-0.04,18.48,
 65 , 64 ,011001,10/03/2015,05:35:27 ,05:35:42 , 15 ,0.05,18.53,
 66 , 64 ,011001,10/03/2015,05:36:13 ,05:36:27 , 14 ,-0.05,18.48,
 67 , 64 ,011001,10/03/2015,05:36:50 ,05:36:57 , 7 ,-0.02,18.46,
 68 , 66 ,011001,10/03/2015,05:56:24 ,05:59:02 , 158 ,0.99,19.45,
 69 , 66 ,011001,10/03/2015,05:59:22 ,06:00:06 , 44 ,0.39,19.84,
 70 , 66 ,011001,10/03/2015,06:00:22 ,06:01:47 , 85 ,0.77,20.61,
 71 , 66 ,011001,10/03/2015,06:02:57 ,06:03:43 , 46 ,-0.09,20.52,
 72 , 66 ,011001,10/03/2015,06:05:52 ,06:06:02 , 10 ,-0.04,20.48,
 73 , 67 ,011001,10/03/2015,06:11:01 ,06:11:56 , 55 ,-0.02,20.46,
 74 , 67 ,011001,10/03/2015,06:12:17 ,06:12:36 , 19 ,-0.03,20.43,
 75 , 67 ,011001,10/03/2015,06:18:43 ,06:19:18 , 35 ,-0.02,20.41,
 76 , 67 ,011001,10/03/2015,06:19:53 ,06:19:55 , 2 ,-0.03,20.38,
 77 , 67 ,011001,10/03/2015,06:20:14 ,06:20:16 , 2 ,0.03,20.41,
 78 , 68 ,011001,10/03/2015,06:32:41 ,06:32:43 , 2 ,0.04,20.45,
 79 , 69 ,011001,10/03/2015,06:38:36 ,06:40:12 , 96 ,-0.02,20.43,
 80 , 69 ,011001,10/03/2015,06:40:25 ,06:40:33 , 8 ,0.03,20.46,
 81 , 69 ,011001,10/03/2015,06:40:58 ,06:41:07 , 9 ,-0.05,20.41,
 82 , 72 ,011001,10/03/2015,07:32:27 ,07:32:28 , 1 ,-0.04,20.37,
 83 , 73 ,011001,10/03/2015,07:38:31 ,07:38:38 , 7 ,-0.03,20.34,
 84 , 73 ,011001,10/03/2015,07:38:56 ,07:39:09 , 13 ,-0.03,20.31,
 85 , 73 ,011001,10/03/2015,07:46:08 ,07:46:10 , 2 ,-0.02,20.29,
 86 , 75 ,011001,10/03/2015,08:08:54 ,08:09:10 , 16 ,-0.02,20.27,
 87 , 79 ,011001,10/03/2015,09:03:39 ,09:04:01 , 22 ,-0.04,20.23,
 88 , 81 ,011001,10/03/2015,09:32:48 ,09:32:57 , 9 ,-0.02,20.21,
 89 , 84 ,011001,10/03/2015,10:12:19 ,10:12:23 , 4 ,0.03,20.24,
 90 , 85 ,011001,10/03/2015,10:35:26 ,10:35:36 , 10 ,-0.03,20.21,
 91 , 85 ,011001,10/03/2015,10:38:27 ,10:38:52 , 25 ,-0.02,20.19,
 92 , 85 ,011001,10/03/2015,10:39:07 ,10:39:21 , 14 ,-0.02,20.17,
 93 , 92 ,011001,10/03/2015,12:14:26 ,12:14:40 , 14 ,0.15,20.32,
 94 , 92 ,011001,10/03/2015,12:14:57 ,12:15:10 , 13 ,0.14,20.46,
 95 , 101 ,011001,10/03/2015,14:27:51 ,14:28:39 , 48 ,0.29,20.75,
 96 , 105 ,011001,10/03/2015,15:12:40 ,15:13:18 , 38 ,0.27,21.02,
 97 , 105 ,011001,10/03/2015,15:14:14 ,15:15:21 , 67 ,0.45,21.47,
 98 , 114 ,011001,10/03/2015,17:24:48 ,17:25:29 , 41 ,0.20,21.67,
 99 , 114 ,011001,10/03/2015,17:25:41 ,17:26:11 , 30 ,0.24,21.91,
 100 , 115 ,011001,10/03/2015,17:38:53 ,17:39:13 , 20 ,0.08,21.99,
 101 , 115 ,011001,10/03/2015,17:39:24 ,17:39:40 , 16 ,-0.08,21.91,
 102 , 120 ,011001,10/03/2015,18:49:16 ,18:49:37 , 21 ,0.07,21.98,
 103 , 120 ,011001,10/03/2015,18:50:17 ,18:50:37 , 20 ,-0.06,21.92,
 104 , 120 ,011001,10/03/2015,18:51:38 ,18:52:13 , 35 ,0.07,21.99,
 105 , 120 ,011001,10/03/2015,18:52:27 ,18:52:33 , 6 ,0.07,22.06,
 106 , 120 ,011001,10/03/2015,18:52:46 ,18:53:09 , 23 ,0.24,22.30,
 107 , 120 ,011001,10/03/2015,18:54:01 ,18:54:43 , 42 ,0.29,22.59,
 108 , 121 ,011001,10/03/2015,19:02:10 ,19:02:22 , 12 ,0.05,22.64,
 109 , 121 ,011001,10/03/2015,19:03:31 ,19:04:18 , 47 ,0.39,23.03,
 110 , 126 ,011001,10/03/2015,20:09:51 ,20:12:40 , 169 ,0.99,24.02,
 111 , 126 ,011001,10/03/2015,20:14:00 ,20:15:16 , 76 ,0.47,24.49,
 112 , 126 ,011001,10/03/2015,20:19:11 ,20:19:32 , 21 ,0.18,24.67,
 113 , 126 ,011001,10/03/2015,20:19:44 ,20:20:14 , 30 ,0.21,24.88,
 114 , 126 ,011001,10/03/2015,20:20:28 ,20:22:56 , 148 ,0.87,25.75,
 115 , 132 ,011001,10/03/2015,21:40:06 ,21:41:21 , 75 ,0.50,26.25,
 116 , 132 ,011001,10/03/2015,21:42:10 ,21:43:58 , 108 ,0.64,26.89,
 117 , 132 ,011001,10/03/2015,21:44:09 ,21:45:35 , 86 ,0.49,27.38,
 118 , 132 ,011001,10/03/2015,21:46:01 ,21:48:39 , 158 ,0.83,28.21,
 119 , 138 ,011001,10/03/2015,23:03:25 ,23:04:10 , 45 ,0.20,28.41,
 120 , 138 ,011001,10/03/2015,23:04:22 ,23:06:27 , 125 ,0.66,29.07,
 121 , 138 ,011001,10/03/2015,23:06:46 ,23:07:28 , 42 ,0.21,29.28,
 122 , 140 ,011001,10/03/2015,23:33:39 ,23:35:38 , 119 ,0.60,29.88,
