OXYMAX CSV FEEDING BOUTS DATA FILE 

CSV FILE CREATION:06/02/2015 11:58:57
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\04-02-15\2015-02-04.BDTA

GROUP/CAGE:0104
SUBJECT ID:Subject 4
SUBJECT MASS:380 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,010401,04/02/2015,14:19:06 ,14:22:29 , 203 ,1.16,1.16,
 2 , 1 ,010401,04/02/2015,14:23:00 ,14:23:21 , 21 ,0.17,1.33,
 3 , 7 ,010401,04/02/2015,15:10:15 ,15:12:16 , 121 ,0.65,1.98,
 4 , 14 ,010401,04/02/2015,16:23:58 ,16:25:37 , 99 ,0.48,2.46,
 5 , 23 ,010401,04/02/2015,17:39:45 ,17:43:16 , 211 ,1.34,3.80,
 6 , 31 ,010401,04/02/2015,19:04:32 ,19:08:03 , 211 ,1.07,4.87,
 7 , 32 ,010401,04/02/2015,19:12:32 ,19:15:12 , 160 ,0.61,5.48,
 8 , 37 ,010401,04/02/2015,20:00:25 ,20:00:39 , 14 ,0.03,5.51,
 9 , 37 ,010401,04/02/2015,20:00:52 ,20:04:22 , 210 ,0.81,6.32,
 10 , 38 ,010401,04/02/2015,20:06:57 ,20:07:26 , 29 ,0.13,6.45,
 11 , 42 ,010401,04/02/2015,20:45:50 ,20:49:19 , 209 ,0.85,7.30,
 12 , 45 ,010401,04/02/2015,21:14:27 ,21:19:14 , 287 ,1.22,8.52,
 13 , 46 ,010401,04/02/2015,21:19:42 ,21:21:43 , 121 ,0.56,9.08,
 14 , 51 ,010401,04/02/2015,22:12:25 ,22:15:12 , 167 ,0.80,9.88,
 15 , 51 ,010401,04/02/2015,22:15:48 ,22:16:40 , 52 ,0.24,10.12,
 16 , 51 ,010401,04/02/2015,22:16:52 ,22:18:26 , 94 ,0.55,10.67,
 17 , 56 ,010401,04/02/2015,22:58:08 ,23:02:21 , 253 ,1.17,11.84,
 18 , 56 ,010401,04/02/2015,23:02:33 ,23:05:51 , 198 ,0.98,12.82,
 19 , 63 ,010401,05/02/2015,00:00:51 ,00:03:11 , 140 ,0.75,13.57,
 20 , 63 ,010401,05/02/2015,00:03:28 ,00:05:20 , 112 ,0.62,14.19,
 21 , 67 ,010401,05/02/2015,00:44:54 ,00:47:29 , 155 ,0.71,14.90,
 22 , 70 ,010401,05/02/2015,01:05:27 ,01:10:30 , 303 ,1.22,16.12,
 23 , 74 ,010401,05/02/2015,01:52:20 ,01:55:20 , 180 ,1.06,17.18,
 24 , 74 ,010401,05/02/2015,01:55:41 ,01:57:04 , 83 ,0.43,17.61,
 25 , 81 ,010401,05/02/2015,02:57:28 ,02:59:18 , 110 ,0.44,18.05,
 26 , 81 ,010401,05/02/2015,02:59:34 ,03:02:18 , 164 ,0.96,19.01,
 27 , 82 ,010401,05/02/2015,03:04:40 ,03:04:54 , 14 ,0.05,19.06,
 28 , 87 ,010401,05/02/2015,03:52:06 ,03:56:12 , 246 ,1.15,20.21,
 29 , 93 ,010401,05/02/2015,04:48:05 ,04:51:19 , 194 ,0.60,20.81,
 30 , 96 ,010401,05/02/2015,05:17:20 ,05:22:53 , 333 ,1.26,22.07,
 31 , 102 ,010401,05/02/2015,06:14:22 ,06:17:04 , 162 ,0.58,22.65,
 32 , 102 ,010401,05/02/2015,06:17:24 ,06:18:53 , 89 ,0.50,23.15,
 33 , 134 ,010401,05/02/2015,11:17:31 ,11:20:14 , 163 ,0.98,24.13,
 34 , 134 ,010401,05/02/2015,11:20:25 ,11:21:42 , 77 ,0.50,24.63,
 35 , 135 ,010401,05/02/2015,11:27:56 ,11:28:03 , 7 ,0.03,24.66,
 36 , 149 ,010401,05/02/2015,13:45:12 ,13:45:25 , 13 ,0.08,24.74,
 37 , 154 ,010401,05/02/2015,14:30:15 ,14:34:50 , 275 ,1.37,26.11,
 38 , 155 ,010401,05/02/2015,14:35:24 ,14:37:15 , 111 ,0.50,26.61,
 39 , 169 ,010401,05/02/2015,16:50:54 ,16:51:02 , 8 ,0.06,26.67,
 40 , 171 ,010401,05/02/2015,17:08:09 ,17:12:42 , 273 ,1.36,28.03,
 41 , 171 ,010401,05/02/2015,17:13:16 ,17:14:44 , 88 ,0.52,28.55,
 42 , 175 ,010401,05/02/2015,17:52:42 ,17:53:33 , 51 ,0.21,28.76,
 43 , 175 ,010401,05/02/2015,17:53:44 ,17:55:08 , 84 ,0.41,29.17,
 44 , 176 ,010401,05/02/2015,17:55:23 ,17:57:46 , 143 ,0.85,30.02,
 45 , 182 ,010401,05/02/2015,18:55:09 ,18:55:44 , 35 ,0.07,30.09,
 46 , 182 ,010401,05/02/2015,18:55:55 ,18:56:33 , 38 ,-0.08,30.01,
 47 , 188 ,010401,05/02/2015,19:53:14 ,19:55:14 , 120 ,0.48,30.49,
 48 , 188 ,010401,05/02/2015,19:55:38 ,19:59:23 , 225 ,0.83,31.32,
 49 , 189 ,010401,05/02/2015,19:59:37 ,20:00:49 , 72 ,0.26,31.58,
 50 , 189 ,010401,05/02/2015,20:01:08 ,20:02:53 , 105 ,0.53,32.11,
 51 , 195 ,010401,05/02/2015,21:01:27 ,21:04:54 , 207 ,1.10,33.21,
 52 , 196 ,010401,05/02/2015,21:05:42 ,21:06:39 , 57 ,0.22,33.43,
 53 , 196 ,010401,05/02/2015,21:06:53 ,21:09:51 , 178 ,0.59,34.02,
 54 , 198 ,010401,05/02/2015,21:25:06 ,21:28:03 , 177 ,0.67,34.69,
 55 , 202 ,010401,05/02/2015,22:10:54 ,22:12:30 , 96 ,0.35,35.04,
 56 , 203 ,010401,05/02/2015,22:12:47 ,22:15:22 , 155 ,0.82,35.86,
 57 , 205 ,010401,05/02/2015,22:32:32 ,22:34:44 , 132 ,0.49,36.35,
 58 , 211 ,010401,05/02/2015,23:29:27 ,23:32:08 , 161 ,0.57,36.92,
 59 , 211 ,010401,05/02/2015,23:32:19 ,23:35:02 , 163 ,0.75,37.67,
 60 , 214 ,010401,05/02/2015,23:57:20 ,00:02:09 , 289 ,1.37,39.04,
 61 , 214 ,010401,06/02/2015,00:02:25 ,00:06:17 , 232 ,1.06,40.10,
 62 , 219 ,010401,06/02/2015,00:49:08 ,00:49:33 , 25 ,0.10,40.20,
 63 , 219 ,010401,06/02/2015,00:49:51 ,00:53:16 , 205 ,0.92,41.12,
 64 , 222 ,010401,06/02/2015,01:17:49 ,01:19:26 , 97 ,0.46,41.58,
 65 , 222 ,010401,06/02/2015,01:19:38 ,01:20:25 , 47 ,0.26,41.84,
 66 , 228 ,010401,06/02/2015,02:15:18 ,02:17:53 , 155 ,0.82,42.66,
 67 , 231 ,010401,06/02/2015,02:41:45 ,02:42:24 , 39 ,0.17,42.83,
 68 , 233 ,010401,06/02/2015,03:01:09 ,03:01:45 , 36 ,0.18,43.01,
 69 , 233 ,010401,06/02/2015,03:02:11 ,03:05:42 , 211 ,1.05,44.06,
 70 , 240 ,010401,06/02/2015,04:09:06 ,04:12:46 , 220 ,0.92,44.98,
 71 , 240 ,010401,06/02/2015,04:13:09 ,04:14:00 , 51 ,0.29,45.27,
 72 , 241 ,010401,06/02/2015,04:17:10 ,04:17:16 , 6 ,0.04,45.31,
 73 , 247 ,010401,06/02/2015,05:16:09 ,05:19:10 , 181 ,0.93,46.24,
 74 , 248 ,010401,06/02/2015,05:20:21 ,05:22:47 , 146 ,0.69,46.93,
 75 , 255 ,010401,06/02/2015,06:26:35 ,06:27:17 , 42 ,0.18,47.11,
 76 , 255 ,010401,06/02/2015,06:27:31 ,06:28:48 , 77 ,0.33,47.44,
 77 , 255 ,010401,06/02/2015,06:29:00 ,06:29:32 , 32 ,0.13,47.57,
 78 , 255 ,010401,06/02/2015,06:29:43 ,06:31:19 , 96 ,0.55,48.12,
 79 , 276 ,010401,06/02/2015,09:53:23 ,09:55:41 , 138 ,0.71,48.83,
 80 , 286 ,010401,06/02/2015,11:24:08 ,11:24:43 , 35 ,0.19,49.02,
 81 , 286 ,010401,06/02/2015,11:24:56 ,11:27:24 , 148 ,0.76,49.78,
