OXYMAX CSV FEEDING BOUTS DATA FILE 

CSV FILE CREATION:09/10/2014 11:52:40
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\8-10-14\2014-10-08.BDTA

GROUP/CAGE:0102
SUBJECT ID:63332
SUBJECT MASS:415 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
