OXYMAX CSV FEEDING BOUTS DATA FILE 

CSV FILE CREATION:06/03/2015 14:05:49
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\02-03-15\2015-03-02.BDTA

GROUP/CAGE:0113
SUBJECT ID:Subject 2
SUBJECT MASS:502 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,011301,02/03/2015,14:50:58 ,14:51:13 , 15 ,0.14,0.14,
 2 , 1 ,011301,02/03/2015,14:51:29 ,14:52:33 , 64 ,0.63,0.77,
 3 , 1 ,011301,02/03/2015,14:53:02 ,14:53:12 , 10 ,0.13,0.90,
 4 , 7 ,011301,02/03/2015,16:17:38 ,16:17:47 , 9 ,0.08,0.98,
 5 , 7 ,011301,02/03/2015,16:17:58 ,16:18:32 , 34 ,0.28,1.26,
 6 , 10 ,011301,02/03/2015,16:53:28 ,16:54:44 , 76 ,0.61,1.87,
 7 , 10 ,011301,02/03/2015,16:55:30 ,16:56:06 , 36 ,0.35,2.22,
 8 , 13 ,011301,02/03/2015,17:44:01 ,17:44:48 , 47 ,0.36,2.58,
 9 , 17 ,011301,02/03/2015,18:41:42 ,18:43:52 , 130 ,1.00,3.58,
 10 , 17 ,011301,02/03/2015,18:44:03 ,18:45:22 , 79 ,0.67,4.25,
 11 , 20 ,011301,02/03/2015,19:11:52 ,19:17:05 , 313 ,2.37,6.62,
 12 , 23 ,011301,02/03/2015,19:59:07 ,20:00:38 , 91 ,0.66,7.28,
 13 , 23 ,011301,02/03/2015,20:00:52 ,20:01:51 , 59 ,0.45,7.73,
 14 , 28 ,011301,02/03/2015,21:13:34 ,21:16:53 , 199 ,1.50,9.23,
 15 , 29 ,011301,02/03/2015,21:27:39 ,21:30:33 , 174 ,1.18,10.41,
 16 , 32 ,011301,02/03/2015,22:17:50 ,22:18:19 , 29 ,0.22,10.63,
 17 , 33 ,011301,02/03/2015,22:18:54 ,22:20:34 , 100 ,0.73,11.36,
 18 , 34 ,011301,02/03/2015,22:38:35 ,22:40:20 , 105 ,0.78,12.14,
 19 , 34 ,011301,02/03/2015,22:40:32 ,22:41:06 , 34 ,0.27,12.41,
 20 , 37 ,011301,02/03/2015,23:21:22 ,23:25:59 , 277 ,2.09,14.50,
 21 , 39 ,011301,02/03/2015,23:45:19 ,23:45:56 , 37 ,0.27,14.77,
 22 , 39 ,011301,02/03/2015,23:47:02 ,23:47:41 , 39 ,0.28,15.05,
 23 , 40 ,011301,03/03/2015,00:01:46 ,00:03:23 , 97 ,0.67,15.72,
 24 , 40 ,011301,03/03/2015,00:03:38 ,00:06:34 , 176 ,1.23,16.95,
 25 , 41 ,011301,03/03/2015,00:22:54 ,00:23:32 , 38 ,0.18,17.13,
 26 , 41 ,011301,03/03/2015,00:23:43 ,00:24:21 , 38 ,0.23,17.36,
 27 , 47 ,011301,03/03/2015,01:48:05 ,01:49:06 , 61 ,0.35,17.71,
 28 , 51 ,011301,03/03/2015,02:48:57 ,02:50:41 , 104 ,0.67,18.38,
 29 , 53 ,011301,03/03/2015,03:15:40 ,03:18:03 , 143 ,0.88,19.26,
 30 , 53 ,011301,03/03/2015,03:18:17 ,03:19:04 , 47 ,0.32,19.58,
 31 , 57 ,011301,03/03/2015,04:08:13 ,04:11:30 , 197 ,1.20,20.78,
 32 , 58 ,011301,03/03/2015,04:18:41 ,04:19:14 , 33 ,0.20,20.98,
 33 , 58 ,011301,03/03/2015,04:19:43 ,04:19:58 , 15 ,0.14,21.12,
 34 , 58 ,011301,03/03/2015,04:20:10 ,04:22:30 , 140 ,1.15,22.27,
 35 , 58 ,011301,03/03/2015,04:22:46 ,04:23:52 , 66 ,0.53,22.80,
 36 , 62 ,011301,03/03/2015,05:19:59 ,05:20:18 , 19 ,0.09,22.89,
 37 , 62 ,011301,03/03/2015,05:20:37 ,05:23:57 , 200 ,1.35,24.24,
 38 , 65 ,011301,03/03/2015,05:59:11 ,06:01:49 , 158 ,0.89,25.13,
 39 , 65 ,011301,03/03/2015,06:02:10 ,06:02:52 , 42 ,0.29,25.42,
 40 , 65 ,011301,03/03/2015,06:03:06 ,06:03:45 , 39 ,0.27,25.69,
 41 , 92 ,011301,03/03/2015,12:23:00 ,12:25:01 , 121 ,0.83,26.52,
 42 , 92 ,011301,03/03/2015,12:25:15 ,12:26:04 , 49 ,0.39,26.91,
 43 , 92 ,011301,03/03/2015,12:26:36 ,12:26:50 , 14 ,0.15,27.06,
 44 , 99 ,011301,03/03/2015,14:04:22 ,14:06:13 , 111 ,0.68,27.74,
 45 , 105 ,011301,03/03/2015,15:30:32 ,15:32:17 , 105 ,0.82,28.56,
 46 , 111 ,011301,03/03/2015,16:54:01 ,16:54:37 , 36 ,0.30,28.86,
 47 , 111 ,011301,03/03/2015,16:54:48 ,16:55:02 , 14 ,0.13,28.99,
 48 , 111 ,011301,03/03/2015,16:58:08 ,16:59:27 , 79 ,0.61,29.60,
 49 , 116 ,011301,03/03/2015,18:05:36 ,18:05:44 , 8 ,0.02,29.62,
 50 , 116 ,011301,03/03/2015,18:07:07 ,18:07:11 , 4 ,0.07,29.69,
 51 , 116 ,011301,03/03/2015,18:07:39 ,18:07:42 , 3 ,-0.06,29.63,
 52 , 119 ,011301,03/03/2015,18:56:13 ,18:56:32 , 19 ,0.07,29.70,
 53 , 119 ,011301,03/03/2015,18:56:59 ,18:57:39 , 40 ,0.02,29.72,
 54 , 119 ,011301,03/03/2015,18:59:09 ,19:00:04 , 55 ,0.41,30.13,
 55 , 120 ,011301,03/03/2015,19:00:26 ,19:00:53 , 27 ,0.28,30.41,
 56 , 120 ,011301,03/03/2015,19:01:08 ,19:01:25 , 17 ,0.24,30.65,
 57 , 120 ,011301,03/03/2015,19:02:01 ,19:02:42 , 41 ,0.42,31.07,
 58 , 120 ,011301,03/03/2015,19:02:54 ,19:03:06 , 12 ,0.16,31.23,
 59 , 120 ,011301,03/03/2015,19:03:27 ,19:04:06 , 39 ,0.45,31.68,
 60 , 120 ,011301,03/03/2015,19:05:37 ,19:07:23 , 106 ,0.89,32.57,
 61 , 120 ,011301,03/03/2015,19:08:20 ,19:10:21 , 121 ,1.02,33.59,
 62 , 127 ,011301,03/03/2015,20:44:22 ,20:46:38 , 136 ,1.13,34.72,
 63 , 127 ,011301,03/03/2015,20:47:03 ,20:47:09 , 6 ,0.02,34.74,
 64 , 128 ,011301,03/03/2015,21:03:02 ,21:05:11 , 129 ,0.81,35.55,
 65 , 128 ,011301,03/03/2015,21:05:32 ,21:06:28 , 56 ,0.41,35.96,
 66 , 132 ,011301,03/03/2015,22:00:47 ,22:03:17 , 150 ,1.09,37.05,
 67 , 133 ,011301,03/03/2015,22:03:36 ,22:05:42 , 126 ,0.85,37.90,
 68 , 133 ,011301,03/03/2015,22:10:00 ,22:11:04 , 64 ,0.50,38.40,
 69 , 135 ,011301,03/03/2015,22:36:55 ,22:37:03 , 8 ,0.04,38.44,
 70 , 135 ,011301,03/03/2015,22:38:33 ,22:38:45 , 12 ,0.06,38.50,
 71 , 139 ,011301,03/03/2015,23:28:26 ,23:32:13 , 227 ,1.74,40.24,
 72 , 139 ,011301,03/03/2015,23:32:35 ,23:33:24 , 49 ,0.39,40.63,
 73 , 139 ,011301,03/03/2015,23:37:36 ,23:38:35 , 59 ,0.49,41.12,
 74 , 139 ,011301,03/03/2015,23:38:49 ,23:40:08 , 79 ,0.75,41.87,
 75 , 139 ,011301,03/03/2015,23:40:26 ,23:41:18 , 52 ,0.47,42.34,
 76 , 139 ,011301,03/03/2015,23:41:58 ,23:42:23 , 25 ,0.18,42.52,
 77 , 145 ,011301,04/03/2015,00:57:58 ,01:02:18 , 260 ,1.86,44.38,
 78 , 147 ,011301,04/03/2015,01:33:07 ,01:33:22 , 15 ,0.10,44.48,
 79 , 148 ,011301,04/03/2015,01:48:49 ,01:51:21 , 152 ,0.91,45.39,
 80 , 151 ,011301,04/03/2015,02:29:06 ,02:29:45 , 39 ,0.21,45.60,
 81 , 151 ,011301,04/03/2015,02:30:00 ,02:31:24 , 84 ,0.50,46.10,
 82 , 154 ,011301,04/03/2015,03:17:46 ,03:18:40 , 54 ,0.33,46.43,
 83 , 155 ,011301,04/03/2015,03:18:52 ,03:22:53 , 241 ,1.40,47.83,
 84 , 155 ,011301,04/03/2015,03:23:54 ,03:25:35 , 101 ,0.66,48.49,
 85 , 159 ,011301,04/03/2015,04:21:33 ,04:22:15 , 42 ,0.22,48.71,
 86 , 159 ,011301,04/03/2015,04:22:33 ,04:23:22 , 49 ,0.19,48.90,
 87 , 159 ,011301,04/03/2015,04:23:39 ,04:23:48 , 9 ,0.07,48.97,
 88 , 163 ,011301,04/03/2015,05:13:25 ,05:13:57 , 32 ,0.20,49.17,
 89 , 164 ,011301,04/03/2015,05:27:16 ,05:28:31 , 75 ,0.47,49.64,
 90 , 164 ,011301,04/03/2015,05:28:53 ,05:30:34 , 101 ,0.62,50.26,
 91 , 166 ,011301,04/03/2015,05:58:58 ,06:00:49 , 111 ,0.65,50.91,
 92 , 166 ,011301,04/03/2015,06:01:00 ,06:02:53 , 113 ,0.73,51.64,
 93 , 166 ,011301,04/03/2015,06:03:09 ,06:04:10 , 61 ,0.35,51.99,
 94 , 180 ,011301,04/03/2015,09:26:09 ,09:26:24 , 15 ,0.06,52.05,
 95 , 180 ,011301,04/03/2015,09:26:44 ,09:27:06 , 22 ,-0.07,51.98,
 96 , 183 ,011301,04/03/2015,10:08:01 ,10:08:36 , 35 ,2.24,54.22,
 97 , 183 ,011301,04/03/2015,10:09:05 ,10:09:26 , 21 ,0.24,54.46,
 98 , 183 ,011301,04/03/2015,10:09:43 ,10:09:56 , 13 ,0.18,54.64,
 99 , 183 ,011301,04/03/2015,10:10:15 ,10:11:06 , 51 ,0.51,55.15,
 100 , 197 ,011301,04/03/2015,13:20:14 ,13:20:58 , 44 ,0.28,55.43,
 101 , 197 ,011301,04/03/2015,13:21:51 ,13:22:23 , 32 ,0.24,55.67,
 102 , 197 ,011301,04/03/2015,13:22:36 ,13:23:02 , 26 ,0.23,55.90,
 103 , 197 ,011301,04/03/2015,13:23:18 ,13:23:32 , 14 ,0.13,56.03,
 104 , 206 ,011301,04/03/2015,15:25:59 ,15:26:54 , 55 ,0.37,56.40,
 105 , 206 ,011301,04/03/2015,15:27:12 ,15:27:34 , 22 ,0.17,56.57,
 106 , 209 ,011301,04/03/2015,16:14:34 ,16:16:01 , 87 ,0.55,57.12,
 107 , 209 ,011301,04/03/2015,16:16:51 ,16:18:25 , 94 ,0.64,57.76,
 108 , 214 ,011301,04/03/2015,17:27:02 ,17:27:51 , 49 ,0.37,58.13,
 109 , 214 ,011301,04/03/2015,17:28:43 ,17:29:20 , 37 ,0.25,58.38,
 110 , 219 ,011301,04/03/2015,18:39:56 ,18:41:59 , 123 ,0.76,59.14,
 111 , 219 ,011301,04/03/2015,18:42:19 ,18:43:12 , 53 ,0.40,59.54,
 112 , 219 ,011301,04/03/2015,18:43:33 ,18:44:27 , 54 ,0.36,59.90,
 113 , 220 ,011301,04/03/2015,18:47:01 ,18:48:07 , 66 ,0.47,60.37,
 114 , 220 ,011301,04/03/2015,18:48:20 ,18:48:49 , 29 ,0.23,60.60,
 115 , 220 ,011301,04/03/2015,18:49:05 ,18:49:42 , 37 ,0.28,60.88,
 116 , 221 ,011301,04/03/2015,19:01:49 ,19:04:46 , 177 ,0.98,61.86,
 117 , 226 ,011301,04/03/2015,20:22:09 ,20:22:14 , 5 ,0.02,61.88,
 118 , 227 ,011301,04/03/2015,20:22:37 ,20:26:29 , 232 ,1.21,63.09,
 119 , 227 ,011301,04/03/2015,20:35:35 ,20:37:36 , 121 ,0.68,63.77,
 120 , 227 ,011301,04/03/2015,20:38:06 ,20:38:35 , 29 ,0.18,63.95,
 121 , 228 ,011301,04/03/2015,20:38:46 ,20:40:13 , 87 ,0.51,64.46,
 122 , 231 ,011301,04/03/2015,21:29:00 ,21:31:15 , 135 ,0.79,65.25,
 123 , 231 ,011301,04/03/2015,21:31:31 ,21:32:21 , 50 ,0.35,65.60,
