Oxymax Feeding Bouts CSV File ,,,,,,,,,,,,
,,,,,,,,,,,,
CSV FILE CREATION:20/02/2015 14:05:32,,,,,,,,,,,,
DATA FILENAME:C:\Program Files\Oxymax\Recordings\E.Spreckley\17-02-15\2015-02-17.BDTA,,,,,,,,,,,,
,,,,,,,,,,,,
GROUP/CAGE:0113,,,,,,,,,,,,
SUBJECT ID:Subject 2,,,,,,,,,,,,
SUBJECT MASS:460.2 grams,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
:DATA,,,,,,,,,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,,,,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,,,,
#,#,#,,,,seconds,grams,grams,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,,,,
1,4,11301,17/02/2015,10:23:12,10:23:16,4,0.03,0.03,,,,
2,5,11301,17/02/2015,10:29:28,10:29:45,17,0.02,0.05,,,,
3,6,11301,17/02/2015,10:40:20,10:41:05,45,0.4,0.45,,,,
4,6,11301,17/02/2015,10:42:25,10:42:52,27,0.27,0.72,,18:57,6.11,0
5,13,11301,17/02/2015,12:20:36,12:21:47,71,0.53,1.25,,18:58,6.11,0
6,13,11301,17/02/2015,12:22:25,12:23:25,60,0.5,1.75,,18:59,6.21,0.1
7,20,11301,17/02/2015,13:59:24,14:00:40,76,0.53,2.28,,19:00,6.39,0.28
8,20,11301,17/02/2015,14:02:36,14:03:16,40,0.28,2.56,,19:01,6.63,0.52
9,22,11301,17/02/2015,14:37:29,14:38:33,64,0.38,2.94,,19:02,6.75,0.64
10,22,11301,17/02/2015,14:38:56,14:39:15,19,0.16,3.1,,19:03,6.97,0.86
11,23,11301,17/02/2015,14:51:19,14:52:45,86,0.57,3.67,,19:04,7.48,1.37
12,30,11301,17/02/2015,16:27:58,16:28:42,44,0.34,4.01,,19:05,7.72,1.61
13,30,11301,17/02/2015,16:30:07,16:30:49,42,0.32,4.33,,19:06,8.37,2.26
14,31,11301,17/02/2015,16:45:24,16:46:25,61,0.34,4.67,,19:07,8.37,2.26
15,35,11301,17/02/2015,17:33:35,17:34:49,74,0.47,5.14,,19:08,8.37,2.26
16,35,11301,17/02/2015,17:37:51,17:39:24,93,0.6,5.74,,19:09,8.37,2.26
17,35,11301,17/02/2015,17:39:53,17:40:33,40,0.35,6.09,,19:10,8.37,2.26
18,37,11301,17/02/2015,18:06:38,18:06:42,4,0.09,6.18,,19:11,8.37,2.26
19,37,11301,17/02/2015,18:06:59,18:07:11,12,-0.09,6.09,,19:12,8.37,2.26
20,40,11301,17/02/2015,18:56:00,18:56:19,19,0.08,6.17,,19:13,8.37,2.26
21,40,11301,17/02/2015,18:56:49,18:57:20,31,-0.06,6.11,,19:14,8.37,2.26
22,41,11301,17/02/2015,18:59:46,18:59:55,9,0.1,6.21,,19:15,8.37,2.26
